participant_id,gender,age,education,tenure_years,mind_1,mind_2,mind_3,mind_4,mind_5,flex_1,flex_2,flex_3,flex_4,flex_5,well_1,well_2,well_3,well_4,well_5,mindfulness,psychological_flexibility,occupational_wellbeing
SUB-066,2,54,2,24,4,4,4,5,5,4,4,5,4,4,4,4,3,4,4,4.54,4.08,3.66
SUB-067,1,33,3,7,4,5,3,2,4,4,3,3,3,3,3,3,3,2,2,3.73,3.34,2.48
SUB-068,2,47,1,5,4,4,3,4,3,4,2,3,4,4,4,2,4,3,5,3.42,3.24,3.4
SUB-069,1,55,3,1,3,4,4,3,4,3,3,4,4,4,3,2,3,4,3,3.39,3.77,3.15
SUB-070,1,30,2,13,4,3,2,3,3,3,3,3,2,3,3,4,3,4,3,2.81,2.61,3.24
SUB-071,1,33,2,21,4,4,4,4,4,3,4,3,4,4,5,4,3,4,4,3.87,3.74,3.88
SUB-072,2,44,1,18,5,5,5,4,5,4,4,4,3,4,4,5,5,4,5,4.98,3.97,4.71
SUB-073,1,46,2,13,3,3,4,3,4,3,3,3,2,3,3,3,4,4,3,3.3,2.7,3.49
SUB-074,2,39,1,21,4,5,4,5,4,4,5,5,5,5,5,4,5,4,4,4.5,5.0,4.58
SUB-075,1,34,1,21,2,1,1,1,2,2,1,2,2,1,2,2,3,2,4,1.27,1.73,2.49
SUB-076,1,54,2,18,5,3,4,3,4,3,3,4,2,3,3,3,3,3,2,3.99,2.82,2.62
SUB-077,2,37,2,5,5,3,5,4,4,4,4,5,4,3,3,4,3,4,3,4.31,3.92,3.53
SUB-078,2,38,2,13,4,3,4,3,4,4,4,4,5,3,4,3,4,5,4,3.51,3.89,3.86
SUB-079,1,44,3,4,3,3,4,4,5,4,3,4,3,3,4,3,3,2,4,3.7,3.25,3.05
SUB-080,2,50,2,17,2,2,2,2,2,3,3,3,2,3,4,4,3,2,4,2.2,2.6,3.27
SUB-081,2,42,2,3,3,3,4,2,4,4,2,3,4,3,4,5,4,4,3,3.37,3.35,4.09
SUB-082,2,55,1,17,3,4,3,3,3,3,3,3,4,3,3,3,4,4,4,3.32,2.99,3.72
SUB-083,1,32,2,11,5,4,5,5,5,3,4,3,4,3,4,5,5,3,5,4.64,3.55,4.23
SUB-084,1,54,2,21,3,4,3,3,3,2,2,3,2,2,3,5,4,4,5,3.05,2.35,4.03
SUB-085,2,55,3,20,3,3,4,3,3,3,4,3,5,4,3,3,4,5,4,3.37,3.7,3.68
SUB-086,1,24,2,23,2,2,5,3,3,3,3,4,4,3,4,4,3,3,5,2.89,3.59,3.66
SUB-087,2,55,2,21,4,4,4,5,5,3,3,3,4,3,4,3,4,4,5,4.6,3.31,4.11
SUB-088,2,55,1,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3.28,2.79,3.11
SUB-089,2,35,3,2,3,3,3,3,2,3,3,3,3,4,4,5,4,3,5,2.62,3.41,4.12
SUB-090,2,52,2,20,2,5,3,5,4,3,3,3,3,4,3,4,4,3,4,3.72,2.99,3.39
SUB-091,2,55,1,16,4,3,3,5,3,3,3,4,3,3,4,4,3,3,4,3.47,3.05,3.71
SUB-092,1,35,1,18,5,4,4,5,3,4,4,3,5,4,4,4,5,4,3,4.07,3.83,3.89
SUB-093,2,48,2,8,4,3,3,3,3,3,3,4,4,3,3,3,3,4,4,3.36,3.59,3.52
SUB-094,1,44,1,3,3,4,3,3,3,3,3,3,2,3,4,3,3,4,3,3.29,2.9,3.3
SUB-095,1,24,3,9,3,3,3,3,5,3,3,2,4,3,4,5,4,4,4,3.21,3.16,4.37
SUB-096,2,48,2,20,3,2,3,3,3,3,2,2,3,3,3,2,3,2,3,2.91,2.68,2.51
SUB-097,2,37,1,6,3,4,4,4,3,3,3,4,3,3,4,3,3,4,2,3.77,3.05,3.1
SUB-098,2,56,2,10,4,3,4,4,3,2,3,2,4,3,5,3,3,2,3,3.41,2.9,3.37
SUB-099,2,33,2,21,4,4,3,4,4,3,3,2,2,3,3,3,3,2,4,3.96,2.49,3.13
SUB-100,1,25,2,10,4,3,3,3,4,3,4,4,3,3,4,3,4,4,4,3.22,3.53,3.62
SUB-101,1,28,1,13,3,4,3,3,2,3,2,3,3,2,3,3,4,4,4,3.17,2.74,3.44
SUB-102,2,31,1,17,3,3,3,3,2,5,4,3,3,3,3,3,4,3,3,2.93,3.77,3.32
SUB-103,1,28,2,9,3,3,3,3,4,4,4,4,4,3,4,3,4,3,4,3.39,3.89,3.77
SUB-104,1,31,2,17,3,2,3,3,3,3,3,3,4,3,4,4,3,3,4,2.92,3.35,3.5
SUB-105,1,53,2,24,3,2,3,4,3,3,4,4,2,3,3,3,4,4,3,3.16,3.09,3.24
SUB-106,1,54,2,9,4,3,3,5,4,2,3,4,3,3,5,4,4,4,4,3.98,3.16,4.34
SUB-107,1,34,2,9,5,5,4,5,3,4,4,4,4,4,5,4,3,4,4,4.53,4.17,4.12
SUB-108,1,30,1,1,3,4,4,4,4,3,3,4,3,2,3,3,3,3,3,3.68,3.16,3.16
SUB-109,1,30,2,2,4,3,4,4,4,4,3,5,4,4,3,3,3,4,3,3.66,4.18,3.4
SUB-110,1,50,3,16,3,4,4,4,4,3,3,3,2,3,4,4,4,4,4,3.61,2.67,4.22
SUB-111,2,42,2,1,2,2,3,2,2,3,3,2,3,2,4,3,3,4,3,1.99,2.79,3.23
SUB-112,1,29,2,10,3,4,3,4,4,4,4,4,4,4,4,3,5,3,4,3.76,3.86,3.66
SUB-113,1,33,1,18,2,4,4,4,3,4,3,5,2,3,3,4,3,4,4,3.57,3.55,3.71
SUB-114,2,42,1,8,5,5,5,5,5,4,4,4,5,5,4,4,4,4,3,5.0,4.23,3.68
SUB-115,1,38,2,21,4,3,4,4,3,5,3,4,4,3,4,5,5,5,5,3.51,3.72,4.65
SUB-116,2,26,3,11,4,3,3,4,3,4,3,4,3,2,3,4,3,4,4,3.29,3.03,3.73
SUB-117,2,28,2,23,4,2,2,4,3,4,4,3,4,3,4,3,4,4,4,2.82,3.43,3.59
SUB-118,1,44,2,2,3,2,3,2,3,3,3,2,4,3,4,4,3,3,4,2.8,2.88,3.47
SUB-119,1,48,2,8,3,4,5,4,5,4,4,4,4,4,4,4,5,5,4,4.0,4.09,4.27
SUB-120,2,25,1,22,4,3,4,3,4,2,4,5,4,3,4,4,4,4,4,3.74,3.51,4.13
SUB-121,2,36,2,8,4,4,5,4,4,4,3,4,4,3,4,4,3,3,3,4.11,3.81,3.6
SUB-122,1,33,1,17,2,3,4,3,2,4,4,3,4,4,3,4,3,3,3,2.94,3.62,3.03
SUB-123,2,40,1,15,5,4,4,5,4,5,5,4,5,5,4,5,5,5,5,4.29,4.7,4.63
SUB-124,1,34,3,17,2,2,3,4,3,3,4,4,4,4,4,3,4,4,3,2.92,3.93,3.47
SUB-125,2,45,2,23,4,4,4,4,5,5,4,5,4,4,5,4,4,5,5,4.01,4.24,4.41
SUB-126,1,34,2,24,5,5,5,5,4,5,5,4,4,4,4,5,4,4,4,4.71,4.2,4.11
SUB-127,2,35,1,13,2,2,3,2,4,4,4,4,3,3,3,3,2,3,3,2.8,3.51,2.6
SUB-128,2,47,1,19,4,4,4,3,4,3,4,3,3,4,2,4,4,4,4,3.94,3.29,3.75
SUB-129,2,41,1,5,3,4,3,4,4,5,5,4,4,5,4,5,4,5,4,3.44,4.8,4.26
SUB-130,2,30,1,12,3,3,3,4,4,3,3,3,2,3,4,4,4,3,5,3.49,2.72,3.85
SUB-131,1,51,2,1,3,3,2,2,3,2,3,3,4,2,2,3,2,3,2,2.47,2.69,2.57
SUB-132,1,54,1,23,4,4,4,4,4,3,3,2,4,3,4,4,4,4,4,4.09,3.21,3.92
SUB-133,1,40,2,5,2,3,2,2,3,3,1,3,3,3,4,3,3,3,3,2.19,2.77,3.0
SUB-134,1,28,1,8,4,4,3,4,4,3,3,4,3,3,2,4,4,4,3,3.99,3.08,3.26
SUB-135,2,40,1,13,3,3,3,3,4,3,3,3,3,2,3,3,3,2,3,3.06,2.71,2.67
SUB-136,1,41,1,8,5,5,4,5,4,4,4,3,3,4,3,3,4,3,5,4.49,3.68,3.7
SUB-137,1,44,2,23,3,2,3,3,2,4,3,3,3,4,4,3,4,3,4,2.39,3.29,3.46
SUB-138,2,54,2,11,3,3,3,3,3,5,5,4,4,4,4,4,4,3,4,3.13,4.6,3.95
SUB-139,2,25,2,1,4,4,4,4,4,5,3,4,5,4,4,2,3,4,4,3.9,4.06,3.26
SUB-140,2,50,2,13,3,3,3,2,3,3,3,4,2,3,2,2,2,2,2,2.96,3.18,1.82
SUB-141,2,32,2,19,3,4,4,4,4,3,2,3,4,3,3,4,3,3,2,4.01,3.21,3.14
SUB-142,1,57,1,24,3,3,5,5,4,3,5,4,4,4,5,5,5,5,5,4.08,4.14,4.79
SUB-143,1,51,1,3,3,2,3,3,2,3,2,2,3,3,3,4,3,3,2,2.49,2.49,3.16
SUB-144,2,37,2,24,4,4,3,3,4,4,5,5,4,4,3,4,2,3,4,3.81,4.25,3.39
SUB-145,2,55,2,17,2,4,4,2,4,4,4,4,5,5,4,3,4,4,4,3.3,4.19,3.9
SUB-146,1,29,1,5,3,3,4,5,3,3,4,4,4,4,3,4,4,4,3,3.7,3.61,3.46
SUB-147,2,34,3,20,3,3,3,2,2,2,3,2,2,3,2,2,1,1,2,2.44,2.49,1.47
SUB-148,1,52,2,21,4,2,2,2,3,3,4,5,4,3,3,2,4,3,3,2.8,3.98,2.84
SUB-149,1,43,1,8,4,4,3,4,4,3,3,4,4,3,4,3,4,3,3,3.95,3.56,3.2
SUB-150,2,53,2,14,3,4,4,3,3,4,4,4,4,3,4,4,5,4,4,3.62,3.59,4.29
SUB-151,2,46,2,4,4,3,4,4,3,2,2,2,2,2,3,3,4,3,5,3.78,1.9,3.51
SUB-152,2,42,2,11,4,5,3,4,4,4,4,3,3,4,4,4,5,5,4,3.91,3.45,4.2
SUB-153,1,26,2,20,3,2,3,3,3,3,4,3,4,4,4,3,4,4,3,2.58,3.8,3.71
SUB-154,2,50,1,15,3,4,4,3,3,4,4,4,4,3,4,2,4,3,3,3.54,3.66,3.37
SUB-155,1,42,2,19,3,4,3,4,3,4,3,3,4,3,5,5,4,5,5,3.52,3.25,4.64
SUB-156,1,46,2,7,3,3,4,3,3,3,4,3,3,3,4,4,3,5,4,3.36,3.29,4.2
SUB-157,2,54,2,19,5,5,4,5,4,3,3,4,3,3,4,4,4,5,4,4.72,3.32,4.3
SUB-158,2,56,2,19,5,4,4,4,3,3,4,2,4,4,4,4,4,4,4,3.91,3.27,4.1
SUB-159,2,24,1,11,3,3,3,2,3,4,3,3,2,3,3,4,4,3,3,2.72,3.21,3.56
SUB-160,2,37,2,5,4,4,4,4,5,4,3,3,4,4,4,4,3,4,4,4.06,3.48,4.01
SUB-161,2,56,1,5,3,3,3,2,3,3,3,3,3,3,4,3,3,3,3,2.6,3.14,3.06
SUB-162,2,28,2,22,3,4,4,3,3,3,3,2,3,3,3,3,2,3,5,3.56,2.97,3.07
SUB-163,1,34,2,8,5,5,4,3,4,2,3,2,3,3,5,4,5,3,4,4.42,2.7,4.04
SUB-164,1,25,1,10,3,2,2,4,3,4,3,3,4,4,2,4,3,3,2,2.68,3.45,2.59
SUB-165,1,40,2,6,4,5,5,4,4,4,4,4,4,4,5,3,4,4,4,4.28,3.82,3.8
SUB-166,1,43,1,15,5,3,3,5,4,3,3,4,4,3,3,5,3,3,4,4.1,3.2,3.38
SUB-167,2,37,1,16,4,5,4,4,4,4,4,4,4,5,4,4,5,4,5,4.3,4.37,4.32
SUB-168,2,55,2,17,4,5,4,4,5,4,4,4,4,5,4,5,3,5,5,4.52,4.37,4.5
SUB-169,1,57,2,8,3,3,2,3,4,4,5,4,5,4,2,2,3,3,2,3.19,4.5,2.23
SUB-170,1,48,3,8,4,3,3,4,4,4,4,3,4,4,3,4,4,4,4,3.81,4.01,3.61
SUB-171,2,30,2,9,3,2,4,3,3,4,4,4,3,3,4,3,4,5,3,2.78,3.5,3.68
SUB-172,1,52,1,2,2,3,3,3,3,4,4,3,4,4,3,2,4,3,2,2.69,3.61,2.91
SUB-173,2,45,2,15,4,3,3,4,3,2,4,4,2,3,4,3,3,3,3,3.6,2.88,3.01
SUB-174,2,36,1,18,3,4,4,4,4,4,4,5,4,3,4,4,4,4,4,3.93,4.21,3.91
SUB-175,2,36,3,3,5,4,4,4,4,4,4,3,5,3,3,4,3,3,4,4.1,3.98,3.53
SUB-176,2,24,2,17,5,5,4,5,4,4,5,4,4,5,3,4,4,3,3,4.8,4.21,3.25
SUB-177,2,27,2,4,3,3,3,3,4,2,2,3,2,3,2,2,3,2,3,3.03,2.51,2.24
SUB-178,1,36,1,4,5,4,5,4,5,4,5,4,5,4,5,5,5,5,5,4.5,4.26,5.0
SUB-179,2,47,2,14,3,2,4,3,3,4,4,4,3,3,4,4,5,4,4,2.86,3.77,4.07
SUB-180,2,42,2,9,5,5,5,5,5,3,3,3,3,3,5,4,5,5,5,4.88,3.19,4.97
SUB-181,1,24,2,9,4,4,4,3,4,2,3,4,3,3,4,4,3,4,4,3.98,2.91,3.64
SUB-182,2,28,1,23,2,4,3,2,3,1,2,3,2,2,2,3,2,3,3,2.94,1.79,2.44
SUB-183,2,39,1,18,2,2,3,3,3,3,2,3,3,2,4,3,3,2,3,2.38,2.8,2.83
SUB-184,2,47,3,10,4,3,4,4,4,4,5,5,4,3,5,4,5,4,4,3.89,4.08,4.52
SUB-185,2,50,2,21,3,3,3,3,4,3,4,5,4,4,3,3,3,4,2,3.33,3.8,3.09
SUB-186,2,24,2,4,4,4,4,4,5,3,4,3,4,4,4,4,3,4,4,4.35,3.75,3.9
SUB-187,2,57,1,12,3,3,4,4,4,4,5,4,4,3,4,4,4,4,4,3.75,4.14,3.89
SUB-188,2,27,3,8,4,4,4,3,4,3,2,3,3,3,3,2,2,4,4,3.68,2.92,2.85
SUB-189,2,23,1,2,4,3,2,3,2,2,3,3,2,2,4,3,2,3,3,2.98,2.24,3.2
SUB-190,2,34,2,22,2,3,2,3,3,3,3,3,3,3,3,4,2,4,3,2.4,3.18,3.38
SUB-191,2,45,2,13,3,4,3,2,4,4,4,3,3,4,4,4,4,3,3,2.99,3.74,3.41
SUB-192,2,53,1,21,5,4,4,4,4,3,3,3,4,4,5,5,4,4,5,4.39,3.57,4.47
SUB-193,1,33,2,16,4,3,4,3,3,3,2,2,2,2,3,3,3,3,3,3.2,2.38,2.86
SUB-194,2,32,1,2,3,3,3,2,2,3,3,3,3,2,4,3,4,3,3,2.76,2.98,3.26
SUB-195,2,25,1,11,3,4,3,4,3,3,3,4,2,3,3,4,4,3,4,3.6,2.91,3.71
SUB-196,1,36,2,10,4,4,5,3,3,5,4,3,3,4,2,3,5,4,4,3.68,4.0,3.51
SUB-197,2,38,3,15,3,3,2,2,3,2,3,4,3,4,4,3,3,3,3,2.74,3.34,3.04
SUB-198,1,32,2,17,4,4,3,3,3,4,3,4,3,3,3,2,3,2,3,3.28,3.28,2.38
SUB-199,1,51,2,8,4,4,3,4,4,3,3,4,4,3,4,5,3,4,4,3.65,3.51,3.9
SUB-200,2,32,1,18,4,3,2,3,3,3,2,2,2,3,3,3,3,3,3,3.12,2.55,2.91
SUB-201,1,34,1,23,4,4,4,3,3,3,4,4,4,3,3,4,3,3,5,3.81,3.4,3.41
SUB-202,2,52,1,9,4,4,5,4,5,4,4,4,4,4,5,5,5,4,4,4.52,4.13,4.48
SUB-203,2,23,1,8,4,5,4,4,4,3,2,3,4,4,4,3,4,3,4,4.11,3.02,3.8
SUB-204,2,27,1,14,4,4,4,4,5,4,4,4,4,4,3,4,4,3,3,4.35,4.09,3.58
SUB-205,1,42,2,18,3,3,2,4,2,2,2,3,3,4,3,2,3,3,2,2.71,2.65,2.81
SUB-206,1,30,1,22,3,3,3,4,3,3,2,1,3,3,3,4,5,4,3,3.1,2.18,3.66
SUB-207,2,34,1,20,4,3,4,3,3,3,3,4,4,4,3,3,3,3,3,3.51,3.79,3.17
SUB-208,2,23,2,20,5,3,4,4,4,2,3,3,2,2,4,4,4,4,5,4.15,2.29,4.05
SUB-209,2,42,2,21,3,3,5,4,4,3,4,3,3,4,2,3,3,3,3,3.94,3.25,2.63
SUB-210,1,50,1,12,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,4.81,4.71,4.86
SUB-211,2,34,3,19,5,5,3,4,3,4,4,4,4,4,4,4,5,4,4,4.18,4.14,4.09
SUB-212,2,50,3,14,4,5,4,5,4,4,4,4,3,4,4,4,4,5,3,4.26,3.61,4.15
SUB-213,2,37,1,17,3,4,4,4,4,3,3,4,4,4,3,3,3,4,4,3.93,3.79,3.25
SUB-214,1,28,2,24,4,4,5,3,3,4,3,3,4,3,3,3,4,4,4,3.92,3.29,3.41
SUB-215,2,42,2,21,4,2,4,4,4,4,3,3,4,2,3,4,4,3,4,3.41,2.99,3.78
SUB-216,2,36,2,3,4,4,3,4,3,5,3,3,3,4,5,5,4,4,5,3.51,3.76,4.77
SUB-217,2,24,2,23,2,3,3,3,3,3,3,4,4,3,3,4,3,4,3,2.88,3.53,3.5
SUB-218,1,31,2,7,3,3,3,4,3,4,4,4,4,4,4,3,5,3,4,3.39,3.85,3.62
SUB-219,2,42,2,17,4,3,3,3,3,3,3,2,3,4,4,3,3,4,3,3.35,3.16,3.55
SUB-220,2,48,2,12,4,3,4,3,4,4,3,3,3,3,3,2,4,4,3,3.7,3.36,2.99
SUB-221,1,51,2,9,5,4,5,5,5,4,4,4,5,5,4,5,5,5,5,4.91,4.25,4.59
SUB-222,2,23,2,15,2,3,2,3,3,2,2,2,2,2,2,1,1,2,1,2.39,1.85,1.49
SUB-223,2,57,2,18,4,3,4,4,4,3,2,3,2,3,3,4,3,3,3,3.6,2.5,3.39
SUB-224,1,28,2,21,2,3,3,2,2,4,4,4,4,3,3,4,3,4,3,2.22,3.61,3.49
SUB-225,1,27,1,13,4,4,3,2,3,4,4,3,4,4,4,3,4,4,4,3.05,3.64,3.67
SUB-226,2,55,1,21,4,4,5,4,3,4,3,4,4,3,4,3,3,4,5,4.15,3.5,3.64
SUB-227,1,36,2,8,4,2,3,4,4,4,3,4,4,4,4,4,4,3,3,3.18,3.99,3.5
SUB-228,2,34,1,14,4,3,3,3,2,3,3,4,3,3,4,3,4,4,2,2.78,2.99,3.22
SUB-229,1,42,1,8,4,4,4,4,3,5,5,5,5,4,5,4,4,3,4,3.69,5.0,3.92
SUB-230,2,46,1,14,4,5,4,4,4,5,4,5,4,4,3,3,4,4,4,4.39,4.53,3.5
SUB-231,1,56,1,7,3,2,3,3,3,4,4,3,2,3,4,2,3,4,4,2.69,3.1,3.56
SUB-232,2,47,3,23,4,4,3,3,3,3,3,4,3,4,3,2,3,2,3,3.51,3.55,2.42
SUB-233,2,51,2,12,3,3,3,4,3,2,2,3,3,3,3,4,4,4,3,3.03,2.5,3.81
SUB-234,2,53,3,11,3,3,4,3,3,4,3,3,4,4,2,2,2,3,3,3.34,3.81,2.58
SUB-235,2,45,2,22,4,5,4,5,5,4,3,5,4,4,4,4,4,4,5,4.39,3.89,4.37
SUB-236,1,42,2,22,5,3,5,4,4,4,4,3,2,3,4,4,4,4,3,4.29,3.08,3.94
SUB-237,2,45,1,11,2,2,1,2,2,2,2,3,4,3,4,4,2,3,3,1.65,2.66,3.28
SUB-238,1,38,2,22,4,4,3,4,3,3,3,2,3,2,4,4,3,5,4,3.81,2.47,3.9
SUB-239,1,30,1,13,3,4,3,3,3,3,5,3,5,4,4,4,4,5,4,3.41,4.19,4.05
SUB-240,1,43,3,18,4,4,4,3,4,4,5,4,4,4,4,5,4,4,5,3.7,4.34,4.23
SUB-241,2,23,2,2,3,3,2,4,2,4,3,3,3,3,3,2,2,3,2,2.93,3.3,2.26
SUB-242,2,30,1,21,3,3,4,4,3,4,5,4,5,5,3,3,3,3,3,3.57,4.72,3.18
SUB-243,2,51,3,15,4,4,5,3,4,4,5,4,4,3,4,4,4,4,4,3.9,4.15,4.15
SUB-244,1,54,2,20,3,4,3,4,4,3,3,4,4,2,2,4,4,3,3,3.38,3.1,3.29
SUB-245,1,27,2,18,3,3,3,2,3,4,3,4,4,4,2,3,4,5,3,3.01,3.63,3.29
