record_id,title,authors,year,keywords,citations
R33,Study on Behavioral Modeling 33,Author 33,2023,mindfulness;stress;burnout;wellbeing,99
R34,Study on Behavioral Modeling 34,Author 34,2023,mindfulness;stress;burnout;wellbeing,102
R35,Study on Behavioral Modeling 35,Author 35,2023,mindfulness;stress;burnout;wellbeing,105
R36,Study on Behavioral Modeling 36,Author 36,2023,mindfulness;stress;burnout;wellbeing,108
R37,Study on Behavioral Modeling 37,Author 37,2023,mindfulness;stress;burnout;wellbeing,111
R38,Study on Behavioral Modeling 38,Author 38,2023,mindfulness;stress;burnout;wellbeing,114
R39,Study on Behavioral Modeling 39,Author 39,2023,mindfulness;stress;burnout;wellbeing,117
R40,Study on Behavioral Modeling 40,Author 40,2023,mindfulness;stress;burnout;wellbeing,120
R41,Study on Behavioral Modeling 41,Author 41,2023,mindfulness;stress;burnout;wellbeing,123
R42,Study on Behavioral Modeling 42,Author 42,2023,mindfulness;stress;burnout;wellbeing,126
R43,Study on Behavioral Modeling 43,Author 43,2023,mindfulness;stress;burnout;wellbeing,129
R44,Study on Behavioral Modeling 44,Author 44,2023,mindfulness;stress;burnout;wellbeing,132
R45,Study on Behavioral Modeling 45,Author 45,2023,mindfulness;stress;burnout;wellbeing,135
R46,Study on Behavioral Modeling 46,Author 46,2023,mindfulness;stress;burnout;wellbeing,138
R47,Study on Behavioral Modeling 47,Author 47,2023,mindfulness;stress;burnout;wellbeing,141
R48,Study on Behavioral Modeling 48,Author 48,2023,mindfulness;stress;burnout;wellbeing,144
R49,Study on Behavioral Modeling 49,Author 49,2023,mindfulness;stress;burnout;wellbeing,147
R50,Study on Behavioral Modeling 50,Author 50,2023,mindfulness;stress;burnout;wellbeing,150
R51,Study on Behavioral Modeling 51,Author 51,2023,mindfulness;stress;burnout;wellbeing,153
R52,Study on Behavioral Modeling 52,Author 52,2023,mindfulness;stress;burnout;wellbeing,156
R53,Study on Behavioral Modeling 53,Author 53,2023,mindfulness;stress;burnout;wellbeing,159
R54,Study on Behavioral Modeling 54,Author 54,2023,mindfulness;stress;burnout;wellbeing,162
R55,Study on Behavioral Modeling 55,Author 55,2023,mindfulness;stress;burnout;wellbeing,165
R56,Study on Behavioral Modeling 56,Author 56,2023,mindfulness;stress;burnout;wellbeing,168
R57,Study on Behavioral Modeling 57,Author 57,2023,mindfulness;stress;burnout;wellbeing,171
R58,Study on Behavioral Modeling 58,Author 58,2023,mindfulness;stress;burnout;wellbeing,174
R59,Study on Behavioral Modeling 59,Author 59,2023,mindfulness;stress;burnout;wellbeing,177
R60,Study on Behavioral Modeling 60,Author 60,2023,mindfulness;stress;burnout;wellbeing,180
R61,Study on Behavioral Modeling 61,Author 61,2023,mindfulness;stress;burnout;wellbeing,183
R62,Study on Behavioral Modeling 62,Author 62,2023,mindfulness;stress;burnout;wellbeing,186
R63,Study on Behavioral Modeling 63,Author 63,2023,mindfulness;stress;burnout;wellbeing,189
R64,Study on Behavioral Modeling 64,Author 64,2023,mindfulness;stress;burnout;wellbeing,192
R65,Study on Behavioral Modeling 65,Author 65,2023,mindfulness;stress;burnout;wellbeing,195
R66,Study on Behavioral Modeling 66,Author 66,2023,mindfulness;stress;burnout;wellbeing,198
R67,Study on Behavioral Modeling 67,Author 67,2023,mindfulness;stress;burnout;wellbeing,201
R68,Study on Behavioral Modeling 68,Author 68,2023,mindfulness;stress;burnout;wellbeing,204
R69,Study on Behavioral Modeling 69,Author 69,2023,mindfulness;stress;burnout;wellbeing,207
R70,Study on Behavioral Modeling 70,Author 70,2023,mindfulness;stress;burnout;wellbeing,210
R71,Study on Behavioral Modeling 71,Author 71,2023,mindfulness;stress;burnout;wellbeing,213
R72,Study on Behavioral Modeling 72,Author 72,2023,mindfulness;stress;burnout;wellbeing,216
R73,Study on Behavioral Modeling 73,Author 73,2023,mindfulness;stress;burnout;wellbeing,219
R74,Study on Behavioral Modeling 74,Author 74,2023,mindfulness;stress;burnout;wellbeing,222
R75,Study on Behavioral Modeling 75,Author 75,2023,mindfulness;stress;burnout;wellbeing,225
R76,Study on Behavioral Modeling 76,Author 76,2023,mindfulness;stress;burnout;wellbeing,228
R77,Study on Behavioral Modeling 77,Author 77,2023,mindfulness;stress;burnout;wellbeing,231
R78,Study on Behavioral Modeling 78,Author 78,2023,mindfulness;stress;burnout;wellbeing,234
R79,Study on Behavioral Modeling 79,Author 79,2023,mindfulness;stress;burnout;wellbeing,237
R80,Study on Behavioral Modeling 80,Author 80,2023,mindfulness;stress;burnout;wellbeing,240
R81,Study on Behavioral Modeling 81,Author 81,2023,mindfulness;stress;burnout;wellbeing,243
R82,Study on Behavioral Modeling 82,Author 82,2023,mindfulness;stress;burnout;wellbeing,246
R83,Study on Behavioral Modeling 83,Author 83,2023,mindfulness;stress;burnout;wellbeing,249
R84,Study on Behavioral Modeling 84,Author 84,2023,mindfulness;stress;burnout;wellbeing,252
R85,Study on Behavioral Modeling 85,Author 85,2023,mindfulness;stress;burnout;wellbeing,255
R86,Study on Behavioral Modeling 86,Author 86,2023,mindfulness;stress;burnout;wellbeing,258
R87,Study on Behavioral Modeling 87,Author 87,2023,mindfulness;stress;burnout;wellbeing,261
R88,Study on Behavioral Modeling 88,Author 88,2023,mindfulness;stress;burnout;wellbeing,264
R89,Study on Behavioral Modeling 89,Author 89,2023,mindfulness;stress;burnout;wellbeing,267
R90,Study on Behavioral Modeling 90,Author 90,2023,mindfulness;stress;burnout;wellbeing,270
R91,Study on Behavioral Modeling 91,Author 91,2023,mindfulness;stress;burnout;wellbeing,273
R92,Study on Behavioral Modeling 92,Author 92,2023,mindfulness;stress;burnout;wellbeing,276
R93,Study on Behavioral Modeling 93,Author 93,2023,mindfulness;stress;burnout;wellbeing,279
R94,Study on Behavioral Modeling 94,Author 94,2023,mindfulness;stress;burnout;wellbeing,282
R95,Study on Behavioral Modeling 95,Author 95,2023,mindfulness;stress;burnout;wellbeing,285
R96,Study on Behavioral Modeling 96,Author 96,2023,mindfulness;stress;burnout;wellbeing,288
R97,Study on Behavioral Modeling 97,Author 97,2023,mindfulness;stress;burnout;wellbeing,291
R98,Study on Behavioral Modeling 98,Author 98,2023,mindfulness;stress;burnout;wellbeing,294
R99,Study on Behavioral Modeling 99,Author 99,2023,mindfulness;stress;burnout;wellbeing,297
R100,Study on Behavioral Modeling 100,Author 100,2023,mindfulness;stress;burnout;wellbeing,300
